setID,compound,condition,id,time,dv
DMSO,DMSO,-,57,900,0.40086
DMSO,DMSO,-,57,950,0.366433
DMSO,DMSO,-,57,1000,0.324508
DMSO,DMSO,-,57,1050,0.323286
DMSO,DMSO,-,57,1100,0.311674
DMSO,DMSO,-,57,1150,0.285518
DMSO,DMSO,-,57,1200,0.303974
DMSO,DMSO,-,57,1250,0.27521
DMSO,DMSO,-,57,1300,0.325934
DMSO,DMSO,-,57,1350,0.258709
DMSO,DMSO,-,57,1400,0.323001
DMSO,DMSO,-,57,1450,0.234833
DMSO,DMSO,-,57,1500,0.203462
DMSO,DMSO,-,57,1550,0.221022
DMSO,DMSO,-,57,1600,0.292444
DMSO,DMSO,-,57,1650,0.257405
DMSO,DMSO,-,57,1700,0.170175
DMSO,DMSO,-,57,1750,0.204725
DMSO,DMSO,-,57,1800,0.182601
DMSO,DMSO,-,58,0,-0.03797
DMSO,DMSO,-,58,50,0.339581
DMSO,DMSO,-,58,100,0.546474
DMSO,DMSO,-,58,150,0.646162
DMSO,DMSO,-,58,200,0.817412
DMSO,DMSO,-,58,250,0.710524
DMSO,DMSO,-,58,300,0.701386
DMSO,DMSO,-,58,350,0.698617
DMSO,DMSO,-,58,400,0.756136
DMSO,DMSO,-,58,450,0.636431
DMSO,DMSO,-,58,500,0.775757
DMSO,DMSO,-,58,550,0.546315
DMSO,DMSO,-,58,600,0.537336
DMSO,DMSO,-,58,650,0.571396
DMSO,DMSO,-,58,700,0.53876
DMSO,DMSO,-,58,750,0.465734
DMSO,DMSO,-,58,800,0.466288
DMSO,DMSO,-,58,850,0.423881
DMSO,DMSO,-,58,900,0.414149
DMSO,DMSO,-,58,950,0.406396
DMSO,DMSO,-,58,1000,0.351844
DMSO,DMSO,-,58,1050,0.357897
DMSO,DMSO,-,58,1100,0.300853
DMSO,DMSO,-,58,1150,0.262876
DMSO,DMSO,-,58,1200,0.29575
DMSO,DMSO,-,58,1250,0.44999
DMSO,DMSO,-,58,1300,0.315846
DMSO,DMSO,-,58,1350,0.31727
DMSO,DMSO,-,58,1400,0.247923
DMSO,DMSO,-,58,1450,0.194598
DMSO,DMSO,-,58,1500,0.283526
DMSO,DMSO,-,58,1550,0.280638
DMSO,DMSO,-,58,1600,0.210698
DMSO,DMSO,-,58,1650,0.172128
DMSO,DMSO,-,58,1700,0.221102
DMSO,DMSO,-,58,1750,0.224623
DMSO,DMSO,-,58,1800,0.179486
DMSO,DMSO,-,59,0,0.007453
DMSO,DMSO,-,59,50,0.405407
DMSO,DMSO,-,59,100,0.551737
DMSO,DMSO,-,59,150,0.734705
DMSO,DMSO,-,59,200,0.682429
DMSO,DMSO,-,59,250,0.807981
DMSO,DMSO,-,59,300,0.712412
DMSO,DMSO,-,59,350,0.68912
DMSO,DMSO,-,59,400,0.714149
DMSO,DMSO,-,59,450,0.700655
DMSO,DMSO,-,59,500,0.655551
DMSO,DMSO,-,59,550,0.565934
DMSO,DMSO,-,59,600,0.654922
DMSO,DMSO,-,59,650,0.580241
DMSO,DMSO,-,59,700,0.52534
DMSO,DMSO,-,59,750,0.519794
DMSO,DMSO,-,59,800,0.501494
DMSO,DMSO,-,59,850,0.435723
DMSO,DMSO,-,59,900,0.431027
DMSO,DMSO,-,59,950,0.388881
DMSO,DMSO,-,59,1000,0.387661
DMSO,DMSO,-,59,1050,0.424557
DMSO,DMSO,-,59,1100,0.344664
DMSO,DMSO,-,59,1150,0.288172
DMSO,DMSO,-,59,1200,0.349581
DMSO,DMSO,-,59,1250,0.317638
DMSO,DMSO,-,59,1300,0.26965
DMSO,DMSO,-,59,1350,0.245249
DMSO,DMSO,-,59,1400,0.301334
DMSO,DMSO,-,59,1450,0.254418
DMSO,DMSO,-,59,1500,0.239075
DMSO,DMSO,-,59,1550,0.233012
DMSO,DMSO,-,59,1600,0.218445
DMSO,DMSO,-,59,1650,0.213935
DMSO,DMSO,-,59,1700,0.240332
DMSO,DMSO,-,59,1750,0.173008
DMSO,DMSO,-,59,1800,0.164061
DMSO,DMSO,-,61,0,-0.02911
DMSO,DMSO,-,61,50,0.147294
DMSO,DMSO,-,61,100,0.316443
DMSO,DMSO,-,61,150,0.46741
DMSO,DMSO,-,61,200,0.480985
DMSO,DMSO,-,61,250,0.440469
DMSO,DMSO,-,61,300,0.430419
DMSO,DMSO,-,61,350,0.407927
DMSO,DMSO,-,61,400,0.373972
DMSO,DMSO,-,61,450,0.325429
DMSO,DMSO,-,61,500,0.357011
DMSO,DMSO,-,61,550,0.312238
DMSO,DMSO,-,61,600,0.306584
DMSO,DMSO,-,61,650,0.271966
DMSO,DMSO,-,61,700,0.281859
DMSO,DMSO,-,61,750,0.229862
DMSO,DMSO,-,61,800,0.231746
DMSO,DMSO,-,61,850,0.197861
DMSO,DMSO,-,61,900,0.177655
DMSO,DMSO,-,61,950,0.185298
DMSO,DMSO,-,61,1000,0.172194
